CLUB KRANG,2008-10-25,23:00,2008-10-26,10:00,660.0,Akhnaton,Nieuwezijds Kolk 25,52.376272,4.894322,11.00,12.50,300,,"[PETER EILMES, ANDRE CROM, JULLIETTA, JEFF RUSHIN, FLOWING]",false,false
GROOVESERVICE AT AMSTELHAVEN,2008-10-25,22:00,2008-10-26,03:00,300.0,Amstelhaven,Mauritskade 1,52.359229,4.906017,0.00,0.00,,"[FUNK, SOUL, GROOVY HOUSE]",[GROOVESERVICE DJ-DUO],false,false
SCANVASE,2008-10-25,22:00,2008-10-26,03:00,300.0,Canvas,Wibautstraat 150,,,7.50,7.50,,,"[BOBBY BURNS, THOMAS ROBSON, WANKA]",false,false
UNK,2008-10-25,23:00,2008-10-26,06:00,420.0,Club 8,Admiraal De Ruijterweg 56 B,52.371242,4.86195,8.00,8.00,250,,"[ZOËXENIA, STEADY DOUGLAS, LUPE & GOLDEN YEARS]",false,false
COCOON AFTERHOUR,2008-10-25,05:30,2008-10-25,12:00,390.0,Club Home,Wagenstraat 4-7,52.366566,4.899401,10.00,10.00,,"[MINIMAL, TECHNO]","[ANDRE GALLUZZI, WESDEX, DIMZEN, SANDEEP, TOM NOAH, SANDER MAY, JOHANNA MERCKER, ALIENMAN, MYSTERYGUEST]",false,false
OBJEKTIVITY & INCREDIBLE HOUSE,2008-10-25,23:00,2008-10-26,05:00,360.0,Club Home,Wagenstraat 4-7,52.366566,4.899401,12.00,12.00,,,"[DENNIS FERRER, THE MARTINEZ BROTHERS, MELLY MEL, RANCIDO, ANDY SHERMAN, RYAN MARCIANO & SUNNERY JAMES, RISKSOUNDSYSTEM]",false,false
HERTZ_,2008-10-25,23:00,2008-10-26,06:00,420.0,Club Nl,Nieuwezijds Voorburgwal 169,52.372064,4.891011,10.00,10.00,,,"[LAURINE FROST, MELON, MARCUS GEHRING, JAMA]",false,false
SHEEVA & JOIA,2008-10-25,22:00,2008-10-26,05:00,420.0,Club Roque,Amstel 178,52.366761,4.899383,10.00,10.00,200,[ECLECTIC],"[CONSTANTINO PADOVANO AKA FUNKY JUNCTION, DJ RAPLH, DJ PASCAL]",false,false
DEFECTED IN THE HOUSE,2008-10-25,23:00,2008-10-26,05:00,360.0,Escape,Rembrandtplein 11,52.366428,4.896349,,,1300,[HOUSE],,false,false
INTUITION SHOWCASE,2008-10-25,21:00,2008-10-26,05:00,480.0,Escape Delux,Amstel 70,52.366428,4.896349,,,400,,,true,false
DAVID GUETTA PRESENTS: F*** ME I'M FAMOUS,2008-10-25,22:00,2008-10-26,05:00,420.0,Heineken Music Hall,Arena Boulevard 1,,,40.00,40.00,7000,,,false,false
