name,start_date,end_date,location,address,locality,country,latitude,longitude,capacity,price,genre,lineup,state
ADE Club Krang ,2008-10-25T23:00,2008-10-26T10:00,Akhnaton,Nieuwezijds Kolk 25,Amsterdam,NL,52.376272,4.894322,300,"Presale: 11,00 excl. feeDoor:  12,50",,"Peter Eilmes, Andre Crom, Jullietta, Jeff Rushin, Flowing",
Grooveservice At Amstelhaven ,2008-10-25T22:00,2008-10-26T03:00,Amstelhaven,Mauritskade 1,Amsterdam,NL,52.359229,4.906017,,Free entrance,"Funk,  Soul,  Groovy house",Grooveservice dj-duo,
ADE - Scanvase ,2008-10-25T22:00,2008-10-26T03:00,Canvas,Wibautstraat 150,Amsterdam,NL,,,,"Door:   7,50",,"Bobby Burns, Thomas Robson, Wanka",
ADE Unk ,2008-10-25T23:00,2008-10-26T06:00,Club 8,Admiraal de Ruijterweg 56 B,Amsterdam,NL,52.371242,4.86195,250,"Door:   8,00",,"ZoëXenia, Steady Douglas, Lupe & Golden Years",
Cocoon afterhour @ Home (saturday morning) ,2008-10-25T05:30,2008-10-25T12:00,Club Home,Wagenstraat 4-7,Amsterdam,NL,52.366566,4.899401,,"Presale: 10,00 excl. feeDoor:  10,00","Minimal,  Techno","Andre Galluzzi, Wesdex, Dimzen, Sandeep, Tom Noah, Sander May, Johanna Mercker, Alienman, Mysteryguest",
ADE Objektivity & Incredible House ,2008-10-25T23:00,2008-10-26T05:00,Club Home,Wagenstraat 4-7,Amsterdam,NL,52.366566,4.899401,,"Presale: 12,00 excl. fee",,"Dennis Ferrer (US), The Martinez Brothers (US), Melly Mel, Rancido, Andy Sherman, Ryan Marciano & Sunnery James, Risksoundsystem",
ADE Hertz_ ,2008-10-25T23:00,2008-10-26T06:00,Club NL,Nieuwezijds Voorburgwal 169,Amsterdam,NL,52.372064,4.891011,,"Door:  10,00",,"Laurine Frost (HU), Melon, Marcus Gehring, Jama",
ADE Sheeva & Joia ,2008-10-25T22:00,2008-10-26T05:00,Club Roque,Amstel 178,Amsterdam,NL,52.366761,4.899383,200,"Door:  10,00",Eclectic,"Constantino Padovano aka Funky Junction (IT), DJ Raplh (FR), DJ Pascal",
ADE Defected In The House ,2008-10-25T23:00,2008-10-26T05:00,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,1300,,House,,
ADE Intuition Showcase ,2008-10-25T21:00,2008-10-26T05:00,Escape Studio,Amstel 70,Amsterdam,NL,52.366428,4.896349,400,,,,SOLD OUT
ADE David Guetta Presents: F*** Me I'm Famous ,2008-10-25T22:00,2008-10-26T05:00,Heineken Music Hall,Arena Boulevard 1,Amsterdam,NL,,,7000,"Presale: 40,00 excl. fee",,,
ADE Hed Kandi ,2008-10-25T23:00,2008-10-26T06:00,Hotel Arena,'s-Gravesandestraat 51,Amsterdam,NL,52.360576,4.915968,,,,"Phil Faversham (UK), Carl Hanaghan (UK), Steven Quarre, Marnix, Baggi Begovic, Peter Kan, Fountain, J-Harlem, MC Lex Empress, Saxy Mr. S.",
Body Music invites Sneakers Music ,2008-10-25T23:00,2008-10-26T05:30,Jimmy Woo,Korte Leidsedwarsstraat 18,Amsterdam,NL,52.364116,4.883464,550,"Door:  12,00",,"Ron Carroll, Belocca & Soneec, Muzzaik, Bart B More, Groovenatics, Risk Sound System, Eric Fender",
K-Space Sessions ,2008-10-25T17:00,2008-10-25T21:30,K-Space,Nieuwezijds Voorburgwal 262,Amsterdam,NL,52.371612,4.890314,,Free entrance,,,
ADE Superrauw ,2008-10-25T22:00,,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,,"Presale: 17,00 excl. fee",,,
ADE Girlslovedj's ,2008-10-25T23:00,2008-10-26T05:00,Odeon Theater,Singel 460,Amsterdam,NL,,,,"Presale: 14,00 excl. fee","Eclectic,  Funk","The Flexican, Tomdamienlo, Lars Vegas & Vanilla Nice, Jim Aasgier, DVDJS Off The Wall, Missing links, Rubywax, Phonic Funk, Nizzle, Rubix, Grand Jackson, VAgE gASTEN dj-Team",
ADE Go Dutch ,2008-10-25T22:00,2008-10-26T04:00,Panama,Oostelijke Handelskade 4,Amsterdam,NL,52.374931,4.930309,1000,"Presale: 15,00 excl. feeDoor:  20,00",,,
ADE Flamingo Nights ,2008-10-25T23:00,2008-10-26T05:00,Paradiso,Weteringschans 6-8,Amsterdam,NL,52.362277,4.883945,1300,"Presale: 20,00 excl. feeDoor:  25,00",Funk,"Kevin Saunderson (US), Fedde Le Grand, Funkerman, Wally Lopez, Patric La Funk (DE), Björn Wolf, Johnstar, Camille Jones, Dorothy & Andy Sherman, I-Fan, Mc Gee, Mousse T, Rulers Of The Deep (ES), Mark Robinson (UK), Peavy (DE), Samir Maslo (AT), Shik Stylkö (DE)",
Reminisce ,2008-10-25T23:00,2008-10-26T05:00,Partyship Ocean Diva,Meestal ergens in amsterdam,Amsterdam,NL,,,1450,"Presale: 20,00 excl. fee","Swingbeat,  Dance Classics,  80ies,  Pop,  Hip Hop,  Latin (House)","Man!e, Benjamin Brown, Mc Pryme",
ADE Franklin Reeves Invites ,2008-10-25T22:00,2008-10-26T04:00,Rain,Rembrandtplein 44,Amsterdam,NL,52.365901,4.897413,,"Door:  12,00",,"Marnix, Dave Mayer, Franklin Reeves, When Harry Met Sally, Tess, Jacob Chevailier, Thomas Hensbroek Collective (Saxy Mr. S On Sax)",
Supplement Facts Labelday ADE ,2008-10-25T10:00,2008-10-25T20:00,Studio 80,Rembrandtplein 17,Amsterdam,NL,52.366253,4.897123,,"Presale: 10,00 excl. feeDoor:  12,50","House,  Techno","Daniel stefanik, David k, Drrie, Reboot, Unders, Varoslav, Very special guest",
ADE Bla Bla Meets Welcome To The Future ,2008-10-25T23:00,2008-10-26T06:00,Studio 80,Rembrandtplein 17,Amsterdam,NL,52.366253,4.897123,400,"Door:  15,00","House,  Minimal,  Techno,  Techhouse,  Electro","Mikael Stavastrand (live, US), Gimikk (live), Onur Ozer, Hilbert in Hifi, Jobez, Florian Rath & Matthijs Groos, Tony Boogs",
Vrijbuiters Go Berlin Undergound ,2008-10-25T22:00,2008-10-26T11:00,Studio/K,Timorplein 62,Amsterdam,NL,52.365581,4.935035,,"Door:  12,00",,,
ADE Electronation Presents ,2008-10-25T23:00,2008-10-26T05:00,Sugarfactory,Lijnbaansgracht 238,Amsterdam,NL,52.364798,4.881735,450,,,"John Dahlbäck (SE), Ida Engberg (SE), Oliver Huntemann (DE), Terry Toner, Style Of Eye (SE)",
K-Space Sessions Closing Party ,2008-10-25T22:00,2008-10-26T03:00,Supper,Jonge Roelensteeg 21,Amsterdam,NL,52.367547,4.888833,,"Presale: 10,00 excl. fee",House,"Ben Watt, Justin Martin, Nicolas Matar, Webster",
ADE Special: Lovelife & Vinylcru ,2008-10-25T22:00,2008-10-26T03:00,The Mansion,Hobbemastraat 2,Amsterdam,NL,52.361452,4.882344,,"Door:  10,00","Bassline Garage,  UK Garage","Artful Dodger (UK), Chocolate Puma , Recki B, G-double-E, Andy Callister, Vinyl Cru, MC Dart, MC Spyder, MC Rankin, MC Spee & MC Excellence",
ADE Erick Morillo: Subliminal Sessions Carnivale ,2008-10-25T23:00,2008-10-26T10:00,The Powerzone,Daniel Goedkoopstr. 1-3,Amsterdam,NL,52.343369,4.918505,3500,"Presale: 30,00 excl. fee",,,
ADE Contakt ,2008-10-25T22:00,2008-10-26T06:00,The Sand,Rhoneweg 36/1,Amsterdam,NL,52.390402,4.824743,3000,"Presale: 35,00 excl. feeDoor:  40,00",Techno,"Richie Hawtin (CA), Magda (PL), Troy Pierce (US), Marc Houle (US), Heartthrob (US), Jon Gaiser (US), Barem (AR), Konrad Black (US), Barem (AR)",
ADE In Bed With Space ,2008-10-25T23:00,2008-10-26T09:00,The Zebra,Korte Leidsedwarsstraat 14,Amsterdam,NL,52.364116,4.883464,,"Presale: 15,00 excl. fee","House,  Minimal,  Techhouse,  Funk","Sin Plomo (DE), Plastik Funk (DE), Aleksey (DE), Abel Riballo (ES), Mas Digital (DE), Santito, Schaamteloos Dj's",
ADE A Space Disco Inferno ,2008-10-25T23:00,2008-10-26T06:00,Westerunie,Klönne plein 4-6,Amsterdam,NL,52.386808,4.869991,,"Presale: 15,00 excl. feeDoor:  20,00","House,  Disco,  Minimal",,
ADE Connected ,2008-10-24T22:00,2008-10-25T05:00,Akhnaton,Nieuwezijds Kolk 25,Amsterdam,NL,52.376272,4.894322,300,"Door:   7,00","Minimal,  Techno","Jan Liefhebber, Recovery Sounds, Charlton, Hillywood Brothers, Kyoshi, Playaround, Tek-No-Bee, Vj Holzmeister & Vj Illuminator",
H2overdose Meets Tease ,2008-10-24T22:00,2008-10-25T05:00,Amsterdam Marcanti,Jan van Galenstraat 6-10,Amsterdam,NL,52.375807,4.867107,1300,"Door:  10,00","Electro,  Techno","DJ Jurgen, Joy de la Rosa, Velvet, AKnubis, O.T., Stay Puft, Bobby Mash",
Do You Believe ,2008-10-24T22:00,2008-10-25T04:00,Catacomb Amsterdam,Haarlemmerstraat 124c,Amsterdam,NL,52.380943,4.890287,220,"Presale: 8,00Door:  10,00","Progressive,  Goatrance,  Psytrance","Peter Zen (GR), Twisted Travellers, Avontura, Orakel",
ADE Monsters! ,2008-10-24T23:00,2008-10-25T04:00,Club 8,Admiraal de Ruijterweg 56 B,Amsterdam,NL,52.371242,4.86195,,"Presale: 6,00 excl. fee","Electro,  House,  Baile Funk","Sick Girls (DE), Kid Rêve, Bum Hey, Salvador, Bin",
Casual Friday ,2008-10-24T23:00,2008-10-25T05:00,Club Ebony,Buikslotermeerplein 13,Amsterdam,NL,52.399372,4.935849,250,"Presale: 10,00Door:  10,00","RnB,  Swingbeat,  House,  Eclectic,  Bubbling,  Merenge,  Salsa,  Sou","On rotation:DJ Cliffhanger, DJ Otmar, DJ Royalistic, DJ Mixit",
ADE Purple Music Label Night ,2008-10-24T22:00,2008-10-25T05:00,Club Home,Wagenstraat 4-7,Amsterdam,NL,52.366566,4.899401,,"Presale: 12,50Door:  15,00",Funk,"Jaimie Lewis (CH), Richard Earnshaw (UK), Meme (BR), Alfred Azetto (IT), Panevino (CH), Luca Cassani (IT), Keith Thompson (US, live), Greg van Bueren, Leroy Styles, Born 2 Funk, Timothy Watt, Mike Scot, Baz",
ADE New Republic & Big Boss ,2008-10-24T21:00,2008-10-25T05:00,Club Roque,Amstel 178,Amsterdam,NL,52.366761,4.899383,200,"Door:  10,00",Eclectic,"Robbie Taylor, Quinten De Rozario, Rob Boskamp, Dirtcaps, Georgio Schultz, Nouveaubeats, Mc Tjo Kwan, Mc Haits",
ADE Vonyc Sessions ,2008-10-24T23:00,2008-10-25T05:00,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,1300,,,"Paul van Dyk (DE), Jon O'bir (UK), Jon Rundell (UK), Kosmas Epsilon (UK), Bart van Wissen, Sebastian Davidson, Jordi Bouman",SOLD OUT
ADE True House Music Showcase ,2008-10-24T23:00,2008-10-25T05:00,Escape Studio,Amstel 70,Amsterdam,NL,52.366428,4.896349,250,,,"Ricky Rivaro, Daniel Bovie & Roy Rox, T Love, Matt Styles, Radikal Roy & DJ Raymundo",
ADE Fflexbar Presents ,2008-10-24T22:00,2008-10-25T05:00,Flex Bar,Pazzanistraat 1,Amsterdam,NL,52.385827,4.871706,,,,"Shinedoe, 2000 and One, District One (Bart Skils & Anton Pieete), Kabale Und Liebe (live), David Labeij, Lauhaus, Boris Werner, Daniel Sanchez",
ADE Label Showcase Eclectic Fantastic ,2008-10-24T18:00,2008-10-24T21:00,Heineken The City,Amstelstraat 31,Amsterdam,NL,52.3662,4.899242,,,House,"Melly Mel, The Flexican, Leroy Ley, Jay-B, Jimmy Carris, Trunks",
ADE Kings Of Ace ,2008-10-24T23:00,2008-10-25T06:00,Hotel Arena,'s-Gravesandestraat 51,Amsterdam,NL,52.360576,4.915968,,"Presale: 10,00 excl. feeDoor:  15,00","House,  Tech House,  Minimal,  Techno,  Electro,  Eclectic",,
ADE Stealth ,2008-10-24T23:00,2008-10-25T05:00,Jimmy Woo,Korte Leidsedwarsstraat 18,Amsterdam,NL,52.364116,4.883464,550,"Door:  15,00",,"Laidback Luke, Baggi Begovic, Muzzaik (HU), Agent Greg (UK), Tom De Neef (BE), Jesse Garcia (ES), Eddie Thoneick (DE)",
K-Space Sessions ,2008-10-24T18:00,2008-10-24T21:30,K-Space,Nieuwezijds Voorburgwal 262,Amsterdam,NL,52.371612,4.890314,,Free entrance,,"Marcus Worgull, Michael Reinboth, Phreek Plus One, Jay Shepheard",
ADE Major League: Full On Vinyl ,2008-10-24T22:00,,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,,"Presale: 15,00 excl. fee",Drum 'n Bass,,
ADE Resident Advisor & Innervisions Present A Cr ,2008-10-24T22:00,,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,,"Presale: 15,00 excl. fee",,,
A Critical Mass ,2008-10-24T22:00,,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,,"Door:  15,00",,"Henrik Schwarz, Âme, Dixon, Advisor",
